PROJECT_ID,REPORT_MONTH,COST_OVERRUN_PCT,SCHEDULE_CHANGE_DAYS,DELAY_INDICATOR
602538.0,JULY,6.653809064609451,739.0,1
602579.0,APRIL,31.77968577720855,735.0,1
602579.0,MAY,31.77968577720855,735.0,1
602579.0,JUNE,31.77968577720855,735.0,1
602579.0,JULY,31.779302602046723,735.0,1
602582.0,APRIL,126.9299533409887,722.0,1
602582.0,MAY,126.9299533409887,722.0,1
602582.0,JUNE,126.9299533409887,722.0,1
602582.0,JULY,156.30623428347164,722.0,1
602593.0,APRIL,158.57414280664548,,0
602593.0,MAY,158.57414280664548,,0
602593.0,JUNE,158.57414280664548,,0
602593.0,JULY,139.99812212796044,1465.0,1
602792.0,APRIL,0.0,369.0,1
602792.0,MAY,0.0,369.0,1
602792.0,JUNE,0.0,369.0,1
602792.0,JULY,0.0,369.0,1
602797.0,APRIL,0.0,0.0,0
602797.0,MAY,0.0,0.0,0
602797.0,JUNE,0.0,0.0,0
602797.0,JULY,72.84897322589032,0.0,0
602961.0,APRIL,5.903957783641161,363.0,1
602961.0,MAY,5.903957783641161,365.0,1
602961.0,JUNE,5.903957783641161,365.0,1
602961.0,JULY,5.903957783641161,365.0,1
603210.0,MAY,0.0,,0
603210.0,JUNE,0.0,,0
603210.0,JULY,0.0,,0
603293.0,APRIL,56.17529880478087,-10924.0,0
603293.0,MAY,56.17529880478087,-10924.0,0
603293.0,JUNE,56.17529880478087,-10924.0,0
603293.0,JULY,56.17529880478087,-10924.0,0
603945.0,APRIL,427.3177786007796,2551.0,1
603945.0,MAY,427.3177786007796,2551.0,1
603945.0,JUNE,427.3177786007796,2551.0,1
603945.0,JULY,427.3177786007796,2551.0,1
604791.0,APRIL,81.90198932557011,1092.0,1
604791.0,MAY,104.6983664887595,1092.0,1
604791.0,JUNE,104.6983664887595,1092.0,1
604791.0,JULY,104.6983664887595,1092.0,1
604795.0,APRIL,15.117162761241293,1099.0,1
604795.0,MAY,15.117162761241293,1099.0,1
604795.0,JUNE,15.117162761241293,1099.0,1
604795.0,JULY,15.117162761241293,,0
604833.0,APRIL,38.500088857295175,366.0,1
604833.0,MAY,38.500088857295175,366.0,1
604833.0,JUNE,38.500088857295175,366.0,1
604833.0,JULY,38.500088857295175,731.0,1
604852.0,APRIL,0.0,0.0,0
604852.0,MAY,0.0,0.0,0
604852.0,JUNE,0.0,0.0,0
604852.0,JULY,0.0,,0
604853.0,APRIL,40.231557359089194,1459.0,1
604853.0,MAY,40.231557359089194,1821.0,1
604853.0,JUNE,40.231557359089194,1821.0,1
604853.0,JULY,40.231557359089194,1821.0,1
604859.0,APRIL,-14.646867077145961,738.0,1
604859.0,MAY,-14.646867077145961,738.0,1
604859.0,JUNE,-14.646867077145961,738.0,1
604859.0,JULY,-14.646867077145961,738.0,1
604863.0,APRIL,6.44750329477229,2196.0,1
604863.0,MAY,6.44750329477229,2196.0,1
604863.0,JUNE,6.44750329477229,2196.0,1
604863.0,JULY,6.44750329477229,2202.0,1
605155.0,APRIL,0.0,722.0,1
605155.0,MAY,0.0,722.0,1
605155.0,JUNE,0.0,722.0,1
605155.0,JULY,0.0,722.0,1
605156.0,APRIL,94.83421969753488,373.0,1
605156.0,MAY,94.83421969753488,737.0,1
605156.0,JUNE,94.83421969753488,737.0,1
605156.0,JULY,94.83421969753488,737.0,1
605292.0,APRIL,0.0,1099.0,1
605292.0,MAY,0.0,1101.0,1
605292.0,JUNE,0.0,1101.0,1
605292.0,JULY,11.067727024776783,1101.0,1
606013.0,APRIL,0.0,725.0,1
606013.0,MAY,0.0,725.0,1
606013.0,JUNE,0.0,725.0,1
606013.0,JULY,0.0,725.0,1
606112.0,APRIL,0.0,732.0,1
606112.0,MAY,0.0,732.0,1
606112.0,JUNE,0.0,732.0,1
606112.0,JULY,0.0,732.0,1
606431.0,APRIL,20.959809230463513,1461.0,1
606431.0,MAY,20.959809230463513,1461.0,1
606431.0,JUNE,20.959809230463513,1461.0,1
606431.0,JULY,20.959809230463513,1461.0,1
606479.0,APRIL,0.0,1455.0,1
606479.0,MAY,0.0,1455.0,1
606479.0,JUNE,0.0,1455.0,1
606479.0,JULY,0.0,1824.0,1
607653.0,APRIL,0.0,,0
607653.0,MAY,0.0,1092.0,1
607653.0,JUNE,0.0,1092.0,1
607653.0,JULY,0.0,1092.0,1
607701.0,APRIL,39.94664079553723,1091.0,1
607709.0,APRIL,31.08134282075311,3278.0,1
607709.0,MAY,31.08134282075311,3278.0,1
607709.0,JUNE,31.08134282075311,3278.0,1
607709.0,JULY,31.08134282075311,3278.0,1
609019.0,APRIL,-11.600000000000001,1096.0,1
609019.0,MAY,-11.600000000000001,1096.0,1
609019.0,JUNE,-11.600000000000001,1096.0,1
609019.0,JULY,-11.600000000000001,1105.0,1
609424.0,APRIL,0.0,6.0,1
609424.0,MAY,0.0,6.0,1
609424.0,JUNE,0.0,6.0,1
609424.0,JULY,0.0,6.0,1
609736.0,APRIL,0.0,367.0,1
609736.0,MAY,0.0,367.0,1
609736.0,JUNE,11.99770744443737,367.0,1
609736.0,JULY,8.43469400751449,374.0,1
609996.0,APRIL,0.0,722.0,1
609996.0,MAY,0.0,722.0,1
609996.0,JUNE,0.0,722.0,1
609996.0,JULY,0.0,722.0,1
610315.0,APRIL,-31.41818240978752,1829.0,1
610315.0,MAY,-31.41818240978752,1832.0,1
610315.0,JUNE,-31.41818240978752,1829.0,1
610315.0,JULY,-31.41818240978752,1829.0,1
610984.0,APRIL,0.0,735.0,1
610984.0,MAY,0.0,737.0,1
610984.0,JUNE,0.0,737.0,1
610984.0,JULY,0.0,739.0,1
611016.0,APRIL,0.0,2188.0,1
611017.0,APRIL,0.0,2930.0,1
611047.0,APRIL,0.0,5.0,1
611047.0,MAY,0.0,5.0,1
611047.0,JUNE,0.0,5.0,1
611047.0,JULY,0.0,5.0,1
611452.0,APRIL,0.0,365.0,1
611452.0,MAY,0.0,365.0,1
611452.0,JUNE,0.0,365.0,1
611495.0,APRIL,0.0,-2.0,0
611495.0,MAY,0.0,0.0,0
611495.0,JUNE,0.0,0.0,0
611495.0,JULY,0.0,0.0,0
611509.0,APRIL,0.0,,0
611509.0,MAY,0.0,,0
611509.0,JUNE,0.0,,0
611509.0,JULY,0.0,,0
611570.0,APRIL,0.0,364.0,1
611570.0,MAY,0.0,364.0,1
611570.0,JUNE,0.0,364.0,1
611570.0,JULY,0.0,364.0,1
611586.0,APRIL,88.40509311496226,374.0,1
611586.0,MAY,88.40509311496226,374.0,1
611586.0,JUNE,88.40509311496226,374.0,1
611586.0,JULY,74.23876749371773,374.0,1
611602.0,APRIL,0.0,370.0,1
611602.0,MAY,0.0,370.0,1
611602.0,JUNE,0.0,370.0,1
611602.0,JULY,0.0,370.0,1
611669.0,APRIL,0.0,365.0,1
611669.0,MAY,0.0,365.0,1
611669.0,JUNE,0.0,365.0,1
611669.0,JULY,0.0,365.0,1
611698.0,APRIL,0.0,,0
611698.0,MAY,0.0,,0
611698.0,JUNE,0.0,,0
611698.0,JULY,0.0,,0
611699.0,APRIL,0.0,,0
611699.0,MAY,0.0,,0
611699.0,JUNE,0.0,,0
611699.0,JULY,0.0,,0
611716.0,APRIL,0.0,,0
611716.0,MAY,0.0,,0
611716.0,JUNE,0.0,,0
611716.0,JULY,0.0,,0
611735.0,APRIL,0.0,374.0,1
611735.0,MAY,0.0,374.0,1
611735.0,JUNE,0.0,374.0,1
611735.0,JULY,0.0,374.0,1
611751.0,APRIL,0.0,,0
611751.0,MAY,0.0,,0
611751.0,JUNE,0.0,,0
611751.0,JULY,0.0,,0
611752.0,APRIL,0.0,0.0,0
611752.0,MAY,0.0,0.0,0
611752.0,JULY,0.0,0.0,0
611754.0,APRIL,0.0,,0
611754.0,MAY,0.0,,0
611754.0,JUNE,0.0,,0
611754.0,JULY,0.0,,0
611855.0,APRIL,0.0,,0
611855.0,MAY,0.0,,0
611855.0,JUNE,0.0,,0
611855.0,JULY,13.52846468232672,,0
611861.0,APRIL,0.0,0.0,0
611861.0,MAY,0.0,0.0,0
