MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,ORIGINAL_DURATION_DAYS,PROGRESS_CHANGE,EXPENDITURE_CHANGE,COST_OVERRUN_PCT
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MAHARASHTRA,DEPARTMENT OF WATER RESOURCES-MH - II,580.79,713.46,76.22,1463.0,,,54.239914599080564
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MAHARASHTRA,DEPARTMENT OF WATER RESOURCES-MH - II,2407.67,2779.38,80.54,1465.0,,,0.0
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MAHARASHTRA,DEPARTMENT OF WATER RESOURCES-MH - II,848.07,690.49,69.63000000000001,732.0,,,4.759041116888924
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,CHHATTISGARH,WATER RESOURCES-CT,459.97,620.15,73.0,4026.0,,,58.06248233580449
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,CHHATTISGARH,WATER RESOURCES-CT,459.97,620.15,73.0,4026.0,0.0,0.0,58.06248233580449
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,CHHATTISGARH,WATER RESOURCES-CT,459.97,618.85,72.0,4026.0,,,58.06248233580449
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,CHHATTISGARH,WATER RESOURCES-CT,459.97,618.85,72.0,4026.0,0.0,0.0,58.06248233580449
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MAHARASHTRA,DEPARTMENT OF WATER RESOURCES-MH - II,7222.95,10516.63,92.0,3654.0,,,0.0
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MADHYA PRADESH,WATER RESOURCES-MP,751.03,814.02,75.0,3663.0,,,18.949975367162438
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MADHYA PRADESH,WATER RESOURCES-MP,751.03,814.02,75.0,3663.0,0.0,0.0,18.949975367162438
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MADHYA PRADESH,WATER RESOURCES-MP,751.03,814.02,75.0,3663.0,,,18.949975367162438
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MADHYA PRADESH,WATER RESOURCES-MP,751.03,814.02,75.0,3663.0,0.0,0.0,18.949975367162438
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MADHYA PRADESH,WATER RESOURCES-MP,1229.15,2270.96,81.52000000000001,4391.0,,,13.87544237887971
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MADHYA PRADESH,WATER RESOURCES-MP,1229.15,2240.05,81.52000000000001,4391.0,0.0,-30.909999999999854,13.87544237887971
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MADHYA PRADESH,WATER RESOURCES-MP,1229.15,2190.05,81.42,4391.0,,,13.87544237887971
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MADHYA PRADESH,WATER RESOURCES-MP,1229.15,2203.81,81.52000000000001,4391.0,0.10000000000000853,13.759999999999764,13.87544237887971
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,OFFSHORE,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],3190.69,3123.2,90.0,1088.0,,,5.804700550664591
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,OFFSHORE,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],3190.69,3123.2,90.0,1088.0,0.0,0.0,5.804700550664591
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,OFFSHORE,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],3190.69,3123.2,90.0,1088.0,,,5.804700550664591
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,OFFSHORE,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],3190.69,3123.2,90.0,1088.0,0.0,0.0,5.804700550664591
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,ANDHRA PRADESH,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],34012.0,33192.0,96.9,1464.0,,,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,ANDHRA PRADESH,MINISTRYOFPETROLEUMNATURALGAS,34012.0,33113.74,96.8,1464.0,-0.10000000000000853,-78.26000000000204,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,ANDHRA PRADESH,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],34012.0,33006.7,96.5,1464.0,,,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,ANDHRA PRADESH,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],34012.0,33006.7,96.6,1464.0,0.09999999999999432,0.0,0.0
MINISTRY OF STEEL,STEEL,KARNATAKA,NATIONAL MINERAL DEVELOPMENT CORPORATION LIMITED [NMDC],1043.63,649.52,70.33,733.0,,,0.0
MINISTRY OF STEEL,STEEL,KARNATAKA,NATIONAL MINERAL DEVELOPMENT CORPORATION LIMITED [NMDC],1043.63,628.29,65.0,733.0,-5.329999999999998,-21.230000000000018,0.0
MINISTRY OF STEEL,STEEL,KARNATAKA,NATIONAL MINERAL DEVELOPMENT CORPORATION LIMITED [NMDC],1043.63,609.8,63.1,733.0,,,0.0
MINISTRY OF STEEL,STEEL,KARNATAKA,NATIONAL MINERAL DEVELOPMENT CORPORATION LIMITED [NMDC],1043.63,628.29,65.0,733.0,1.8999999999999986,18.49000000000001,0.0
MINISTRY OF COAL,COAL,JHARKHAND,CCL - CIL,2660.0,17.03,16.77,2980.0,,,0.0
MINISTRY OF COAL,COAL,JHARKHAND,CCL - CIL,2660.0,17.4,16.77,2980.0,0.0,0.36999999999999744,0.0
MINISTRY OF COAL,COAL,JHARKHAND,MINISTRY OF COAL,2660.0,16.1,16.77,2980.0,,,0.0
MINISTRY OF COAL,COAL,JHARKHAND,MINISTRY OF COAL,2660.0,17.03,16.77,2980.0,0.0,0.9299999999999997,0.0
MINISTRY OF COAL,COAL,JHARKHAND,CCL - CIL,973.5,772.12,25.11,4436.0,,,0.0
