PROJECT_ID,MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,START_DATE,ORIGINAL_TARGET_DOC,PROGRESS_CHANGE,EXPENDITURE_CHANGE
618830.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1517.87,991.9,76.95,2023-01-11,2025-01-11,,
618830.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1517.87,992.09,76.95,2023-01-11,2025-01-11,0.0,0.19000000000005457
618830.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NHAI,1517.87,1103.0,76.95,2023-01-11,2025-01-11,0.0,110.90999999999997
618830.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NHAI,1517.87,1131.52,76.95,2023-01-11,2025-01-11,0.0,28.519999999999982
618831.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1436.8,200.87,26.6,2024-01-10,2026-01-10,,
618831.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1436.8,200.87,27.6,2024-01-10,2026-01-10,1.0,0.0
618831.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NHAI,1436.8,419.61,27.9,2024-01-10,2026-01-10,0.29999999999999716,218.74
618831.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NHAI,1436.8,419.62,29.2,2024-01-10,2026-01-10,1.3000000000000007,0.009999999999990905
618832.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1274.82,41.83,5.0,2026-01-01,2028-01-01,,
618832.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1274.82,86.46,7.41,2026-01-01,2028-01-01,2.41,44.629999999999995
618832.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NHAI,1274.82,231.62,9.66,2026-01-01,2028-01-01,2.25,145.16000000000003
618832.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NHAI,1274.82,253.64,11.1,2026-01-01,2028-01-01,1.4399999999999995,22.019999999999982
618833.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],894.01,457.05,98.79,2018-01-02,2020-01-07,,
618833.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],894.01,457.06,98.79,2018-01-02,2020-01-07,0.0,0.009999999999990905
618833.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NHAI,894.01,730.04,98.79,2018-01-02,2020-01-07,0.0,272.97999999999996
618834.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],162.73,174.82,100.0,2022-01-04,2023-01-09,,
618834.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],162.73,174.82,100.0,2022-01-04,2023-01-09,0.0,0.0
618835.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],698.4,418.41,100.0,2021-01-03,2022-01-09,,
618835.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],698.4,418.41,100.0,2021-01-03,2022-01-09,0.0,0.0
618836.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1985.38,389.68,79.17999999999999,2023-01-05,2025-01-05,,
618836.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1985.38,463.4,79.97999999999999,2023-01-05,2025-01-05,0.7999999999999972,73.71999999999997
618836.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NHAI,1985.38,1235.29,79.97999999999999,2023-01-05,2025-01-05,0.0,771.89
618836.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NHAI,1985.38,1239.53,81.57,2023-01-05,2025-01-05,1.5900000000000034,4.240000000000009
618837.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1939.23,458.94,66.45,2023-01-05,2025-01-05,,
618837.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1939.23,483.41,67.57,2023-01-05,2025-01-05,1.1199999999999903,24.470000000000027
618837.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NHAI,1939.23,1078.85,67.57,2023-01-05,2025-01-05,0.0,595.4399999999998
618837.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NHAI,1939.23,1079.17,68.95,2023-01-05,2025-01-05,1.3800000000000097,0.3200000000001637
618838.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],736.75,400.17,99.0,2022-01-08,2024-01-08,,
618838.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],736.75,400.32,99.0,2022-01-08,2024-01-08,0.0,0.14999999999997726
618838.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NHAI,736.75,470.4,100.0,2022-01-08,2024-01-08,1.0,70.07999999999998
618838.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NHAI,736.75,463.98,100.0,2022-01-08,2024-01-08,0.0,-6.419999999999959
618839.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1309.47,812.81,100.0,2018-01-08,2022-01-02,,
618839.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1309.47,812.81,100.0,2018-01-08,2022-01-02,0.0,0.0
618840.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],664.02,351.77,97.67,2016-01-10,2019-01-04,,
618840.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],664.02,352.28,97.71,2016-01-10,2019-01-04,0.03999999999999204,0.5099999999999909
618840.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,664.02,813.98,97.72,2016-01-10,2019-01-04,0.010000000000005116,461.70000000000005
