MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,START_DATE,ORIGINAL_TARGET_DOC,PROGRESS_CHANGE,EXPENDITURE_CHANGE
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,181.58,0.0,93.01,2024-01-08,2026-01-02,-3.989999999999995,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (UTTAR PRADESH, UTTARAKHAND)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],238.66,20.2,16.400000000000002,2025-01-10,2027-01-10,-4.099999999999998,-12.87
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,223.46,0.0,89.08,2018-01-06,2019-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,153.79,0.0,98.0,2024-01-01,2025-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (DADRA & NAGAR HAVELI AND DAMAN & DIU, GUJARAT, MAHARASHTRA)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1909.74,672.44,36.23,2022-01-03,2024-01-03,0.0,0.9800000000000182
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,NHIDCL,259.64,0.0,62.93,2024-01-12,2026-01-06,3.18,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,499.88,187.35,64.11,2024-01-07,2026-01-07,-2.569999999999993,-9.900000000000006
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1636.15,1278.04,100.0,2022-01-11,2024-01-11,0.0,72.75
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,399.01,0.0,66.03999999999999,2024-01-08,2026-01-08,-3.5600000000000023,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,705.09,0.0,2.0,2026-01-05,2028-01-05,-2.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,NHIDCL,250.33,0.0,83.54,2024-01-06,2025-01-12,1.2900000000000065,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,313.56,0.0,65.0,2024-01-02,2026-01-02,0.0,-151.04
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,344.71,46.37,62.9,2024-01-10,2025-01-09,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2082.98,865.76,83.36,2021-01-10,2023-01-10,0.480000000000004,0.0599999999999454
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,394.95,0.0,0.0,2025-01-08,2027-01-08,-12.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,323.98,70.48,75.05,2023-01-09,2025-01-09,0.0,0.0200000000000102
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,549.28,296.89,94.01,2022-01-12,2024-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,NHIDCL,1383.78,710.42,72.85000000000001,2018-01-07,2022-01-07,2.210000000000008,21.49000000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,574.26,316.52,71.09,2024-01-02,2026-01-08,0.0,0.1999999999999886
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (KERALA, PUDUCHERRY)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1181.12,710.24,100.0,2017-01-12,2020-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,423.15,0.0,0.0,2019-01-12,2022-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,197.0,0.0,92.74,2017-01-11,2019-01-10,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,838.43,55.04,0.0,2023-01-09,2025-01-09,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1116.13,588.22,53.41,2023-01-12,2025-01-12,0.0,56.89999999999998
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,369.39,330.37,86.3,2018-01-06,2019-01-12,0.0,6.6200000000000045
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,359.86,214.21,80.49,2022-01-05,2024-01-05,0.0,0.0900000000000034
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1360.54,560.86,58.650000000000006,2022-01-05,2024-01-05,0.0,-14.549999999999956
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,196.05,0.0,71.0,2024-01-09,2026-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,181.45,0.0,87.0,2024-01-10,2026-01-04,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],615.78,431.67,98.02,2022-01-09,2024-01-09,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2009.11,194.38,32.95,2025-01-05,2027-01-05,4.740000000000002,3.329999999999984
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,407.2,0.0,91.89,2017-01-06,2019-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TRIPURA,NHIDCL,2026.05,318.48,9.2,2024-01-03,2027-01-03,0.0,25.930000000000007
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NHAI,2185.75,411.78,25.76,2024-01-03,2026-01-03,1.09,38.14999999999998
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,167.97,0.0,93.75,2022-01-11,2024-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,164.13,98.68,100.0,2024-01-10,2026-01-04,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],976.41,332.94,73.0,2024-01-02,2026-01-02,0.0,39.610000000000014
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,881.61,0.0,37.95,2025-01-04,2027-01-04,1.1300000000000026,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,226.32,179.09,74.58,2021-01-06,2022-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,279.29,159.13,90.33,2024-01-10,2026-01-04,0.0,-9.569999999999991
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1103.9,207.82,44.1,2024-01-02,2026-01-02,0.9400000000000048,10.45999999999998
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2289.52,486.69,68.4,2024-01-06,2026-01-06,5.920000000000009,0.1700000000000159
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,886.69,584.84,86.74,2023-01-07,2025-01-07,1.0799999999999983,11.710000000000036
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],747.29,227.97,70.19999999999999,2024-01-02,2026-01-02,0.5999999999999943,0.0099999999999909
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,631.49,92.56,30.8,2023-01-10,2025-01-10,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MANIPUR,NHIDCL,188.36,0.0,100.0,2021-01-06,2022-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,703.68,279.83,90.69,2023-01-01,2025-01-01,0.0,0.25
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],813.66,196.9,65.0,2024-01-02,2026-01-02,3.5,0.3100000000000023
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,1155.21,63.35,16.0,2025-01-12,2028-01-06,0.0,-315.25
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1122.02,169.77,13.0,2025-01-12,2028-01-06,-2.4800000000000004,-433.59
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (DELHI, UTTAR PRADESH)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1479.22,1351.78,100.0,2022-01-06,2024-01-12,0.0,8.599999999999909
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,MORTH,606.61,0.0,55.23,2024-01-10,2026-01-10,2.729999999999997,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,MORTH,237.28,0.0,63.0,2023-01-12,2025-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2077.0,305.32,22.0,2025-01-11,2027-01-11,5.990000000000002,81.63999999999999
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,512.98,117.6,41.97,2024-01-02,2026-01-02,0.1700000000000017,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,MORTH,504.0,0.0,2.5,2025-01-05,2027-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],216.97,165.81,75.24,2023-01-03,2024-01-09,0.0,-48.10999999999999
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,CHHATTISGARH,MORTH,193.16,97.78,85.0,2022-01-03,2023-01-09,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,MORTH,172.66,0.0,15.0,2025-01-04,2026-01-10,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],864.2,305.44,54.11,2023-01-12,2025-01-12,3.9399999999999977,0.0099999999999909
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,161.73,14.12,99.5,2023-01-09,2025-01-09,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,353.27,0.0,3.1,2024-01-09,2026-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1398.84,334.61,48.9,2023-01-10,2025-01-10,5.5,37.55000000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,438.24,0.0,52.0,2024-01-02,2026-01-02,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],662.44,510.72,98.5,2019-01-11,2024-01-08,0.0,32.150000000000034
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,395.62,0.0,94.0,2022-01-11,2024-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1299.36,152.42,17.24,2023-01-11,2026-01-05,0.3599999999999994,5.679999999999978
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,MORTH,458.78,0.0,5.0,2024-01-01,2026-01-01,0.0,-2.32
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,620.3,216.26,70.82000000000001,2024-01-09,2026-01-09,1.970000000000013,0.3299999999999841
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,MORTH,153.01,85.59,95.0,2021-01-08,2023-01-08,2.0,0.8500000000000085
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],309.9,82.28,23.84,2022-01-03,2024-01-03,2.719999999999999,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1722.11,1050.08,100.0,2023-01-03,2025-01-03,0.0999999999999943,0.2100000000000363
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,305.12,0.0,78.0,2023-01-04,2024-01-10,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,617.28,4.72,47.7,2025-01-07,2027-01-01,7.700000000000003,0.25
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],610.78,335.08,100.0,2024-01-02,2026-01-01,0.5,6.519999999999982
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1384.79,823.04,99.99,2023-01-01,2025-01-01,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,255.88,179.66,96.0,2023-01-01,2024-01-07,3.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,686.03,236.66,47.05,2024-01-09,2026-01-09,0.5399999999999991,7.870000000000003
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (HARYANA, PUNJAB)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1641.66,570.95,84.83000000000001,2023-01-10,2025-01-10,4.180000000000007,18.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,325.79,22.7,27.0,2025-01-06,2026-01-12,-10.740000000000002,-0.3100000000000023
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,206.54,0.0,65.14,2023-01-04,2025-01-04,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HARYANA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1810.04,608.36,76.69,2021-01-11,2023-01-11,4.189999999999998,86.01999999999998
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,545.64,0.0,97.25,2017-01-06,2019-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,562.48,92.14,51.470000000000006,2024-01-09,2026-01-09,0.5600000000000094,6.260000000000005
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],837.61,169.32,99.75,2018-01-11,2020-01-11,0.0,0.0099999999999909
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2531.99,1360.9,99.65,2017-01-03,2020-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,258.52,65.15,96.53,2023-01-09,2025-01-09,0.0,4.430000000000007
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2919.8,2280.1,99.19,2019-01-12,2022-01-06,0.0,1.0499999999997272
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1141.88,223.35,35.52,2024-01-11,2026-01-11,2.479999999999997,8.539999999999992
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1272.71,97.85,15.840000000000002,2025-01-04,2027-01-04,2.790000000000001,0.4199999999999875
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,MORTH,255.73,10.06,10.4,2025-01-11,2027-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,LADAKH,NHIDCL,398.37,286.27,90.59,2021-01-07,2023-01-01,0.0,4.079999999999984
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,PUNJAB,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1555.13,217.96,23.18,2025-01-09,2027-01-09,3.09,22.170000000000016
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,MORTH,467.93,0.0,86.03,2024-01-12,2026-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1003.11,9.74,100.0,2008-01-01,2010-01-07,0.0,0.3100000000000005
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,490.92,0.0,76.02,2024-01-05,2026-01-05,-1.7700000000000102,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (JHARKHAND, WEST BENGAL)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1139.65,6.64,99.84,2017-01-12,2019-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,206.13,152.77,98.57,2018-01-06,2020-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,CHHATTISGARH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1096.52,105.97,100.0,2016-01-04,2018-01-04,0.0,-799.28
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,280.57,0.0,65.0,2022-01-06,2024-01-05,3.390000000000001,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JAMMU AND KASHMIR,NHIDCL,245.3,82.62,74.67,2023-01-01,2025-01-01,6.6000000000000085,0.5600000000000023
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1500.11,0.17,0.0,2026-01-03,2028-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,459.39,0.0,79.86999999999999,2024-01-09,2026-01-09,-1.5500000000000114,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,224.44,0.0,91.0,2022-01-02,2023-01-09,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (MADHYA PRADESH, MAHARASHTRA)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],784.35,329.11,64.0,2024-01-03,2026-01-03,0.0,30.02000000000004
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,540.35,139.12,56.55,2025-01-05,2027-01-05,6.659999999999997,43.55000000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTARAKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],183.92,113.06,70.42,2022-01-08,2024-01-02,0.0,-2.3599999999999994
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,349.57,0.0,49.75,2025-01-05,2026-01-11,-4.289999999999999,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],866.0,638.17,99.8,2021-01-08,2023-01-08,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JAMMU AND KASHMIR,NHIDCL,322.49,0.0,0.0,2019-01-07,2021-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,355.12,0.0,43.46,2025-01-04,2026-01-09,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,PUNJAB,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1801.37,614.74,64.41,2024-01-06,2026-01-06,0.2099999999999937,17.32000000000005
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,445.76,18.32,9.22,2025-01-02,2027-01-01,-0.1699999999999999,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,898.19,0.0,39.5,2025-01-01,2027-01-07,0.3999999999999986,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,423.48,160.2,77.34,2022-01-12,2024-01-12,0.4200000000000017,0.1299999999999954
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KERALA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1424.77,1048.93,98.75,2021-01-02,2023-01-02,0.0,0.0099999999999909
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,MORTH,244.54,0.0,99.96,2017-01-05,2019-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,MORTH,479.37,11.75,57.99999999999999,2024-01-12,2026-01-12,-0.1000000000000085,-55.620000000000005
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,MORTH,228.32,44.45,100.0,2018-01-09,2020-01-03,0.0,44.45
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1311.41,47.55,10.35,2025-01-09,2027-01-09,1.4699999999999989,1.1400000000000006
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,LADAKH,NHIDCL,381.01,229.62,82.74000000000001,2021-01-07,2023-01-01,0.0,8.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,MORTH,355.72,184.79,88.33,2022-01-12,2024-01-12,11.47,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,307.11,125.88,0.0,2022-01-11,2024-01-05,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],999.32,513.53,99.0,2018-01-01,2020-01-07,0.0,0.7400000000000091
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,403.36,0.0,94.0,2023-01-12,2025-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,177.77,0.0,93.37,2023-01-06,2025-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,MORTH,912.5,1.9,4.0,2025-01-05,2026-01-11,1.0,1.9
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2510.04,1199.04,99.98,2017-01-03,2019-01-08,0.0,4.889999999999873
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],883.62,61.61,21.790000000000003,2025-01-04,2027-01-04,1.6900000000000013,0.5600000000000023
