MINISTRY,SECTOR,SLNO,PROJECT_NAME,AGENCY,PROJECT_CODES,STATE,DATE_OF_APPROVAL,START_DATE,ORIGINAL_TARGET_DOC,REVISED_DOC,ORIGINAL_COST_RS_CRORE,REVISED_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PCT,SOURCE_PAGE,REPORT_MONTH,SOURCE_FILE,PHYSICAL_PROGRESS_PERCENT,PROJECT_ID
MINISTRY OF RAILWAYS,RAILWAYS,685.0,TARANGA HILL-ABU ROAD VIA AMBAJI,NORTH WESTERN RAILWAY [NWR],400022 | N22000592 | 4458,"MULTI-STATES (GUJARAT, RAJASTHAN)",1-07-22,1-07-22,1-07-30,1-07-30,2798.0,2798.0,2439.32,0.37,88.0,APRIL,Project_Monitoring_April_2026.xlsx,37.0,400022
MINISTRY OF RAILWAYS,RAILWAYS,687.0,TARANGA HILL-ABU ROAD VIA AMBAJI,NORTH WESTERN RAILWAY [NWR],400022 | N22000592 | 4458,"MULTI-STATES (GUJARAT, RAJASTHAN)",1-07-22,1-07-22,1-07-30,1-07-30,2798.0,2798.0,2569.32,0.37,87.0,MAY,Project_Monitoring_May_2026.xlsx,37.0,400022
MINISTRY OF RAILWAYS,RAILWAYS,674.0,TARANGA HILL-ABU ROAD VIA AMBAJI,NORTH WESTERN RAILWAY [NWR],400022 | - | -,"MULTI-STATES (GUJARAT, RAJASTHAN)",1-07-22,1-07-22,1-07-30,1-07-30,2798.0,2798.0,2616.51,0.45,91.0,JUNE,Project_Monitoring_June_2026.xlsx,45.0,400022
MINISTRY OF RAILWAYS,RAILWAYS,639.0,TARANGA HILL-ABU ROAD VIA AMBAJI 116.65 KM,CAOC/NWR NWR MOR,400022 | - | -,"MULTI-STATES (GUJARAT, RAJASTHAN)",1-07-22,1-05-23,1-07-30,1-07-30,2798.0,3198.16,1953.58,0.48,86.0,JULY,Project_Monitoring_July_2026.xlsx,48.0,400022
MINISTRY OF RAILWAYS,RAILWAYS,600.0,CONSTRUCTION OF NEW BG LINE BETWEEN HASSAN TO BELUR [27 KM],SOUTH WESTERN RAILWAY [SWR] - II,400023 | N22000558 | 4449,KARNATAKA,1-03-19,1-12-25,1-04-28,1-04-27,749.0,749.0,0.94,0.003,84.0,APRIL,Project_Monitoring_April_2026.xlsx,0.3,400023
MINISTRY OF RAILWAYS,RAILWAYS,602.0,CONSTRUCTION OF NEW BG LINE BETWEEN HASSAN TO BELUR [27 KM],SOUTH WESTERN RAILWAY [SWR] - II,400023 | N22000558 | 4449,KARNATAKA,1-03-19,1-12-25,1-04-28,1-03-30,749.0,749.0,0.94,0.0,83.0,MAY,Project_Monitoring_May_2026.xlsx,0.0,400023
MINISTRY OF RAILWAYS,RAILWAYS,589.0,CONSTRUCTION OF NEW BG LINE BETWEEN HASSAN TO BELUR [27 KM],SOUTH WESTERN RAILWAY [SWR] - II,400023 | - | -,KARNATAKA,1-03-19,1-12-25,1-04-28,1-03-30,749.0,749.0,3.43,0.005,87.0,JUNE,Project_Monitoring_June_2026.xlsx,0.5,400023
MINISTRY OF RAILWAYS,RAILWAYS,576.0,CONSTRUCTION OF NEW BG LINE BETWEEN HASSAN TO BELUR [27 KM],SOUTH WESTERN RAILWAY [SWR] - II,400023 | - | -,KARNATAKA,1-03-19,1-12-25,1-04-28,1-03-30,749.0,749.0,3.43,0.005,83.0,JULY,Project_Monitoring_July_2026.xlsx,0.5,400023
MINISTRY OF COAL,COAL,84.0,BHATADI EXPANSION OC,WESTERN COALFIELDS LIMITED [WCL],400033 | N06000254 | 4376,MAHARASHTRA,1-02-20,1-05-22,1-03-28,,580.61,580.61,112.17,0.3391,58.0,APRIL,Project_Monitoring_April_2026.xlsx,33.910000000000004,400033
MINISTRY OF COAL,COAL,83.0,BHATADI EXPANSION OC,WESTERN COALFIELDS LIMITED [WCL],400033 | N06000254 | 4376,MAHARASHTRA,1-02-20,1-05-22,1-03-28,,580.61,580.61,112.17,0.3391,57.0,MAY,Project_Monitoring_May_2026.xlsx,33.910000000000004,400033
MINISTRY OF COAL,COAL,82.0,BHATADI EXPANSION OC,WCL - CIL,400033 | - | -,MAHARASHTRA,1-02-20,1-05-22,1-03-28,,580.61,580.61,112.17,0.3391,62.0,JUNE,Project_Monitoring_June_2026.xlsx,33.910000000000004,400033
MINISTRY OF COAL,COAL,82.0,BHATADI EXPANSION OC,WCL - CIL,400033 | - | -,MAHARASHTRA,1-02-20,1-05-22,1-03-28,,580.61,580.61,112.17,0.3425,58.0,JULY,Project_Monitoring_July_2026.xlsx,34.25,400033
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,359.0,"GRASS ROOT RAIL-FED DEPOT AT SEKERKOTE, AGARTALA AS RESITEMENT OF EXISTING DHARMANAGAR DEPOT",INDIAN OIL CORPORATION LIMITED [IOCL],400035 | N16000495 | 4373,TRIPURA,1-06-22,1-06-22,1-09-25,1-06-26,656.0,656.0,537.17,0.97,72.0,APRIL,Project_Monitoring_April_2026.xlsx,97.0,400035
MINISTRY OF PETROLEUM & NATURAL GAS,ENERGY STORAGE,350.0,"GRASS ROOT RAIL-FED DEPOT AT SEKERKOTE, AGARTALA AS RESITEMENT OF EXISTING DHARMANAGAR DEPOT",INDIAN OIL CORPORATION LIMITED [IOCL],400035 | N16000495 | 4373,TRIPURA,1-06-22,1-06-22,1-09-25,1-06-26,656.0,656.0,541.81,0.977,71.0,MAY,Project_Monitoring_May_2026.xlsx,97.7,400035
